variable,ausentes,porcentaje_ausente,valores_distintos
tiempo_h,0,0.0,1450
aireacion,0,0.0,7
agitacion_rpm,0,0.0,1
azucar_l_h,0,0.0,25
acido_l_h,0,0.0,1353
base_l_h,0,0.0,67206
refrigeracion_l_h,0,0.0,77380
calefaccion_l_h,0,0.0,54534
agua_l_h,0,0.0,6
presion_bar,0,0.0,6
extraccion_l_h,0,0.0,2
sustrato_g_l,0,0.0,64531
oxigeno_disuelto_mg_l,0,0.0,11087
penicilina_g_l,0,0.0,56258
volumen_l,0,0.0,28296
peso_kg,0,0.0,31711
ph,0,0.0,3990
temperatura_k,0,0.0,393
calor_generado,0,0.0,51059
co2_gas,0,0.0,28416
paa_alimentacion_l_h,0,0.0,22931
paa_laboratorio,111873,98.19019616447974,1563
aceite_l_h,0,0.0,9
nh3_laboratorio,111873,98.19019616447974,1759
consumo_oxigeno,0,0.0,35065
o2_gas,0,0.0,3095
penicilina_laboratorio_g_l,111873,98.19019616447974,1919
biomasa_laboratorio_g_l,111873,98.19019616447974,1934
evolucion_carbono,0,0.0,35059
amonio_kg,0,0.0,1
viscosidad_laboratorio,111873,98.19019616447974,1976
falla_activa,0,0.0,2
control_operador,0,0.0,2
modo_pat,0,0.0,2
lote_repetido,0,0.0,100
lote,0,0.0,100
lote_con_falla,0,0.0,2
estrategia,0,0.0,3
temperatura_c,0,0.0,393
