lote,estrategia,MAE_g_l,sesgo_g_l,registros
1,Receta,1.2523883266535685,-1.1473852552599195,1130
8,Receta,1.5494037085741543,1.546155412436037,1150
15,Receta,0.4371865355790371,-0.2515947277680272,905
19,Receta,0.9416653337938068,-0.7098529125226744,1035
24,Receta,0.9257752045393018,-0.7183426057029686,1150
28,Receta,1.1473168985280744,0.3712148472782612,1150
33,Operador,0.9315716560435761,0.7554169174249716,1300
45,Operador,1.8269218381807872,-1.8258388941102424,1310
47,Operador,1.0224739013462596,-0.5874840763313722,1140
48,Operador,1.6285643377078043,1.6244147555050579,1150
56,Operador,0.5631581297358121,0.2287653750971855,1150
59,Operador,0.4705360170119653,-0.08606278224818902,1020
63,PAT,0.3748036833257462,0.034231299147177215,1150
64,PAT,0.6033956997009328,0.4838310539928728,1150
78,PAT,1.1204918006339146,-1.1035131912332026,1150
80,PAT,0.620353692629478,0.13462855036109497,1150
88,PAT,1.2248813930780333,-1.2141483413336982,1150
90,PAT,0.4209496659074088,0.1857893479815105,1150
