lote,tiempo_h,estrategia,particion,penicilina_g_l,aireacion,azucar_l_h,acido_l_h,base_l_h,refrigeracion_l_h,calefaccion_l_h,agua_l_h,presion_bar,extraccion_l_h,oxigeno_disuelto_mg_l,volumen_l,peso_kg,ph,temperatura_c,co2_gas,paa_alimentacion_l_h,aceite_l_h,o2_gas
1,0.2,Receta,Prueba normal,1.0178e-25,30,8,0.0,30.118,9.8335,0.0001,0,0.6,0,14.711,58479,62574.0,6.4472,25.07000000000005,0.089514,5.0,22,0.19595
1,0.4,Receta,Prueba normal,0.001,30,8,0.0,51.221,18.155,0.0001,0,0.6,0,14.699,58487,62585.0,6.4932,25.02000000000004,0.10176,5.0,22,0.2039
1,0.6,Receta,Prueba normal,0.00099934,30,8,0.0,54.302,9.5982,0.0001,0,0.6,0,14.686,58495,62598.0,6.5425,24.99000000000001,0.1058,5.0,22,0.20575
1,0.8,Receta,Prueba normal,0.00099874,30,8,0.0,37.816,4.3395,0.0001,0,0.6,0,14.661,58499,62607.0,6.5753,24.960000000000036,0.10819,5.0,22,0.20602
1,1.0,Receta,Prueba normal,0.00099821,30,8,0.5181,18.908,1.1045,0.0001,0,0.6,0,14.633,58501,62613.0,6.5825,24.939999999999998,0.1103,5.0,22,0.20589
1,1.2,Receta,Prueba normal,0.00099771,30,8,1.0387,9.4541,0.0001,0.0001,0,0.6,0,14.621,58500,62617.0,6.5717,24.930000000000007,0.11242,5.0,22,0.2058
1,1.4,Receta,Prueba normal,0.00099722,30,8,1.5604,4.727,0.0001,0.0001,0,0.6,0,14.604,58498,62620.0,6.5521,24.920000000000016,0.11463,5.0,22,0.20569
1,1.6,Receta,Prueba normal,0.00099674,30,8,2.0823,2.3635,0.0001,0.0001,0,0.6,0,14.583,58497,62622.0,6.5287,24.910000000000025,0.11694,5.0,22,0.20553
1,1.8,Receta,Prueba normal,0.00099627,30,8,0.0,0.0,0.0001,0.0001,0,0.6,0,14.547,58494,62624.0,6.5061,24.910000000000025,0.11936,5.0,22,0.20524
1,2.0,Receta,Prueba normal,0.0009958,30,8,0.0,0.0,0.51077,0.0001,0,0.6,0,14.529,58491,62626.0,6.4844,24.900000000000034,0.12189,5.0,22,0.20507
1,2.2,Receta,Prueba normal,0.0009953,30,8,0.0,6.7741,1.638,0.0001,0,0.6,0,14.509,58490,62629.0,6.4728,24.900000000000034,0.12453,5.0,22,0.20492
1,2.4,Receta,Prueba normal,0.00099477,30,8,0.0,18.126,3.2411,0.0001,0,0.6,0,14.496,58491,62634.0,6.4764,24.900000000000034,0.12729,5.0,22,0.20483
1,2.6,Receta,Prueba normal,0.00099421,30,8,0.0,28.037,5.2094,0.0001,0,0.6,0,14.462,58494,62642.0,6.4915,24.900000000000034,0.13018,5.0,22,0.20458
1,2.8,Receta,Prueba normal,0.00099363,30,8,0.0,31.908,7.4531,0.0001,0,0.6,0,14.434,58497,62650.0,6.51,24.900000000000034,0.13318,5.0,22,0.20435
1,3.0,Receta,Prueba normal,0.00099306,30,8,0.0,28.397,9.8571,0.0001,0,0.6,0,14.408,58500,62657.0,6.5233,24.900000000000034,0.13631,5.0,22,0.20415
1,3.2,Receta,Prueba normal,0.00099251,30,15,0.0,19.594,12.327,0.0001,0,0.6,0,14.372,58503,62665.0,6.5239,24.910000000000025,0.13957,5.0,22,0.20388
1,3.4,Receta,Prueba normal,0.00099198,30,15,0.0,10.588,14.665,0.0001,0,0.6,0,14.326,58503,62670.0,6.5122,24.910000000000025,0.14297,5.0,22,0.20351
1,3.6,Receta,Prueba normal,0.00099147,30,15,0.0,6.2774,17.049,0.0001,0,0.6,0,14.289,58503,62675.0,6.4945,24.910000000000025,0.14649,5.0,22,0.20319
1,3.8,Receta,Prueba normal,0.00099095,30,15,0.0,9.0006,19.671,0.0001,0,0.6,0,14.254,58504,62681.0,6.4808,24.910000000000025,0.15015,5.0,22,0.20291
1,4.0,Receta,Prueba normal,0.00099039,30,15,0.0,17.201,22.803,0.0001,0,0.6,0,14.213,58506,62688.0,6.4791,24.910000000000025,0.15395,5.0,22,0.20258
1,4.2,Receta,Prueba normal,0.00098981,30,15,0.0,26.041,25.712,0.0001,0,0.6,0,14.168,58510,62698.0,6.4889,24.910000000000025,0.1579,5.0,30,0.20231
1,4.4,Receta,Prueba normal,0.00098922,30,15,0.0,30.979,28.297,0.0001,0,0.6,0,14.13,58515,62709.0,6.5052,24.920000000000016,0.16198,5.0,30,0.20201
1,4.6,Receta,Prueba normal,0.00098863,30,15,0.0,29.382,31.47,0.0001,0,0.6,0,14.083,58519,62720.0,6.5188,24.920000000000016,0.1662,5.0,30,0.20165
1,4.8,Receta,Prueba normal,0.00098806,30,15,0.0,22.389,34.489,0.0001,0,0.6,0,14.049,58522,62729.0,6.5223,24.920000000000016,0.17057,5.0,30,0.20139
1,5.0,Receta,Prueba normal,0.00098753,30,15,0.0,14.017,38.272,0.0001,0,0.6,0,14.003,58524,62737.0,6.5126,24.930000000000007,0.17508,5.0,30,0.20106
1,5.2,Receta,Prueba normal,0.00098702,30,15,0.0,9.552,42.595,0.0001,0,0.6,0,13.967,58523,62743.0,6.4954,24.930000000000007,0.17976,0.0,30,0.20081
1,5.4,Receta,Prueba normal,0.00098651,30,15,0.0,11.944,46.907,0.0001,0,0.6,0,13.923,58523,62749.0,6.4821,24.930000000000007,0.1846,0.0,30,0.20051
