grupo,aumento_MAE_g_l,desviacion
Tiempo,11.11686993837317,2.7153103653275816
CO2 gas,0.9116599013508123,0.3028077699719037
Aireación y O2 gas,0.48218049733717666,0.18297345827518183
Volumen y peso,0.18608048870534669,0.004348328895820163
Otras alimentaciones,0.0882834757160778,0.02497400023968341
Alimentación azúcar,0.08754365978288288,0.01222375135662299
Regulación pH,0.025967627437488445,0.007019257908392981
Oxígeno disuelto,0.023597907491342756,0.023611971018471022
Regulación térmica,0.004100562523677668,0.0024617243229568078
Temperatura,-0.004660346212250532,0.004187628465756319
